paymentID,accountID,loanID,paymentDate,actualAmount,paymentHistoryCode,dueDate,totalPrincipal,scheduledAmount,transactionID,category,stage
45422752_112017,45422752_1497,45422752,01/11/2017,154058.83,45422752hist2017,15/11/2017,,984.19,T45422752_112017,due,MortgageServicingStage
45422752_032021,45422752_1497,45422752,01/03/2021,0.00,45422752hist2017,15/03/2021,0.00,984.19,T45422752_032021,due,MortgageServicingStage
45422752_022018,45422752_1497,45422752,01/02/2018,153051.74,45422752hist2017,15/02/2018,504.33,984.19,T45422752_022018,due,MortgageServicingStage
45422752_022019,45422752_1497,45422752,01/02/2019,145108.14,45422752hist2017,15/02/2019,2290.90,984.19,T45422752_022019,due,MortgageServicingStage
45422752_032020,45422752_1497,45422752,01/03/2020,136793.60,45422752hist2017,15/03/2020,1734.16,984.19,T45422752_032020,due,MortgageServicingStage
45422752_092017,45422752_1497,45422752,01/09/2017,155059.65,45422752hist2017,15/09/2017,,984.19,T45422752_092017,due,MortgageServicingStage
45422752_032018,45422752_1497,45422752,01/03/2018,152545.84,45422752hist2017,15/03/2018,505.90,984.19,T45422752_032018,due,MortgageServicingStage
45422752_022021,45422752_1497,45422752,01/02/2021,0.00,45422752hist2017,15/02/2021,0.00,984.19,T45422752_022021,due,MortgageServicingStage
45422752_022020,45422752_1497,45422752,01/02/2020,138527.76,45422752hist2017,15/02/2020,0.00,984.19,T45422752_022020,due,MortgageServicingStage
45422752_032019,45422752_1497,45422752,01/03/2019,145108.14,45422752hist2017,15/03/2019,0.00,984.19,T45422752_032019,due,MortgageServicingStage
45422752_102017,45422752_1497,45422752,01/10/2017,154560.02,45422752hist2017,15/10/2017,499.63,984.19,T45422752_102017,due,MortgageServicingStage
45422752_052018,45422752_1497,45422752,01/05/2018,151529.29,45422752hist2017,15/05/2018,509.07,984.19,T45422752_052018,due,MortgageServicingStage
45422752_042021,45422752_1497,45422752,01/04/2021,0.00,45422752hist2017,15/04/2021,0.00,984.19,T45422752_042021,due,MortgageServicingStage
45422752_042020,45422752_1497,45422752,01/04/2020,136222.96,45422752hist2017,15/04/2020,570.64,984.19,T45422752_042020,due,MortgageServicingStage
45422752_052019,45422752_1497,45422752,01/05/2019,143413.78,45422752hist2017,15/05/2019,631.00,984.19,T45422752_052019,due,MortgageServicingStage
45422752_052021,45422752_1497,45422752,01/05/2021,0.00,45422752hist2017,15/05/2021,0.00,984.19,T45422752_052021,due,MortgageServicingStage
45422752_042018,45422752_1497,45422752,01/04/2018,152038.36,45422752hist2017,15/04/2018,507.48,984.19,T45422752_042018,due,MortgageServicingStage
45422752_042019,45422752_1497,45422752,01/04/2019,144044.78,45422752hist2017,15/04/2019,1063.36,984.19,T45422752_042019,due,MortgageServicingStage
45422752_052020,45422752_1497,45422752,01/05/2020,134902.96,45422752hist2017,15/05/2020,1320.00,984.19,T45422752_052020,due,MortgageServicingStage
